Date,Tot_Crime_Count,Victim_Female,Victim_Male,Victim_Age,Victim_Race
2002-07-27,1,0,1,21.0,2
2008-08-12,1,1,0,29.0,6
2012-02-11,1,1,0,28.0,6
2013-05-22,2,1,1,43.5,2
2013-06-14,1,1,0,37.0,6
2013-08-03,1,0,1,27.0,3
2013-08-05,1,0,1,66.0,2
2013-08-20,1,0,1,35.0,1
2013-10-01,1,0,1,54.0,3
2013-12-04,1,1,0,27.0,6
2013-12-08,1,0,1,73.0,6
2014-01-08,1,0,1,38.0,3
2014-01-12,1,0,1,33.0,6
2014-01-23,1,0,1,30.0,2
2014-02-09,1,0,1,32.0,6
2014-02-25,1,0,1,21.0,3
2014-03-08,1,0,1,24.0,6
2014-03-10,1,1,0,29.0,2
2014-03-12,2,0,2,33.5,2
2014-03-13,1,0,1,34.0,3
2014-03-16,1,0,1,32.0,6
2014-03-22,1,1,0,4.0,3
2014-03-23,1,1,0,26.0,6
2014-04-15,3,2,1,20.67,3
2014-04-17,3,2,1,38.0,6
2014-04-21,1,0,1,59.0,2
2014-04-27,1,0,1,16.0,3
2014-05-01,1,0,1,47.0,2
2014-05-02,1,0,1,23.0,2
2014-05-07,1,0,1,57.0,2
2014-05-12,1,1,0,13.0,2
2014-05-13,2,1,1,37.5,1
2014-05-16,1,1,0,67.0,6
2014-05-17,3,1,2,27.33,3
2014-05-18,1,1,0,22.0,3
2014-05-19,1,1,0,26.0,2
2014-05-20,1,1,0,54.0,6
2014-05-22,2,1,1,17.0,6
2014-05-26,3,0,3,30.67,2
2014-05-28,2,1,1,41.5,6
2014-05-30,3,1,2,36.67,3
2014-05-31,4,2,2,34.75,2
2014-06-01,157,68,89,38.11,2
2014-06-02,138,70,68,40.72,2
2014-06-03,162,68,94,38.62,2
2014-06-04,162,84,78,40.03,6
2014-06-05,145,79,66,41.6,3
2014-06-06,151,82,69,40.5,2
2014-06-07,151,67,84,41.21,2
2014-06-08,149,67,82,40.04,6
2014-06-09,169,80,89,40.45,2
2014-06-10,118,56,62,40.35,3
2014-06-11,137,60,77,41.14,2
2014-06-12,139,62,77,39.77,2
2014-06-13,161,86,75,39.42,2
2014-06-14,173,94,79,41.65,2
2014-06-15,123,63,60,37.83,2
2014-06-16,164,85,79,40.68,2
2014-06-17,185,83,102,39.23,2
2014-06-18,167,69,98,40.28,2
2014-06-19,174,82,92,41.61,6
2014-06-20,169,88,81,41.76,3
2014-06-21,156,68,88,42.62,6
2014-06-22,163,72,91,38.96,2
2014-06-23,159,78,81,40.87,2
2014-06-24,147,65,82,38.65,2
2014-06-25,140,82,58,40.91,3
